,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
78,cybersex,1,6Sz7iJhiDlJTBTTKIO4oVf,gucci linen (feat. 2 Chainz),spotify:track:6Sz7iJhiDlJTBTTKIO4oVf,0.0453,0.835,0.684,0.0,0.287,-5.903,0.074,120.014,0.576,53
79,cybersex,2,7nachbrOxXI5sTUFlOAkca,bright pink tims (feat. Cam'ron),spotify:track:7nachbrOxXI5sTUFlOAkca,0.0449,0.759,0.641,0.0,0.676,-6.987,0.114,114.985,0.284,49
80,cybersex,3,64oWLmeRfpTwiuxthP7yCe,playboy shit (feat. Lil Aaron),spotify:track:64oWLmeRfpTwiuxthP7yCe,0.0847,0.656,0.741,0.0,0.111,-4.998,0.18,154.937,0.882,64
81,cybersex,4,3ZW87Wj98EqDCduX7OH4IO,e.z. (feat. Machine Gun Kelly),spotify:track:3ZW87Wj98EqDCduX7OH4IO,0.0356,0.793,0.531,1.02e-05,0.0905,-8.501,0.127,129.951,0.337,57
82,cybersex,5,4J2zCmydGtDFWmmAiNzImh,up in this (with Tinashe),spotify:track:4J2zCmydGtDFWmmAiNzImh,0.0528,0.731,0.697,0.0,0.128,-6.097,0.0665,128.009,0.488,51
83,cybersex,6,7AhlMDKQelsNkWvFeZvmtC,anxiety (with FRND),spotify:track:7AhlMDKQelsNkWvFeZvmtC,0.0291,0.652,0.715,0.0,0.156,-5.919,0.0388,97.981,0.617,65
84,cybersex,7,6cXmcur5Hu4gzI6wk24QRN,"thursday/froze over - ""interlude""",spotify:track:6cXmcur5Hu4gzI6wk24QRN,0.262,0.784,0.455,1.01e-06,0.119,-7.776,0.065,120.935,0.307,43
85,cybersex,8,56lpR8t6k2VCIYYwVVxnzD,I hope your whole life sux,spotify:track:56lpR8t6k2VCIYYwVVxnzD,0.27,0.708,0.644,0.0,0.0686,-5.862,0.195,133.925,0.699,54
86,cybersex,9,3wMQczkpe5xftuUqkc8dAu,down 4 u (feat. T-Pain),spotify:track:3wMQczkpe5xftuUqkc8dAu,0.231,0.767,0.696,0.0,0.228,-3.428,0.162,115.006,0.715,48
87,cybersex,10,1WtrCehjHjTwXgUZkIUvGj,glo_up (feat. Rick Ross),spotify:track:1WtrCehjHjTwXgUZkIUvGj,0.0527,0.714,0.644,0.0,0.111,-5.542,0.0827,128.987,0.217,40
88,cybersex,11,3EAmqB8YX7xJEoE7dB2V4N,top priority (with Ne-Yo),spotify:track:3EAmqB8YX7xJEoE7dB2V4N,0.229,0.851,0.599,0.0,0.0748,-4.863,0.056,103.939,0.821,42
89,cybersex,12,20nY3IhGhRGBaWK3remnch,g2g ttyl (feat. THEY.),spotify:track:20nY3IhGhRGBaWK3remnch,0.471,0.63,0.382,0.0,0.176,-5.535,0.0558,97.706,0.555,55
90,cybersex,13,7g838qJvNsRt5fbHaleo2q,candayapple (feat. Paul Wall & Riff Raff),spotify:track:7g838qJvNsRt5fbHaleo2q,0.287,0.53,0.748,0.0,0.414,-3.013,0.331,120.259,0.887,43
91,cybersex,14,5l5HDvPgwLyxhaqEtyVgiI,santa monica & la brea,spotify:track:5l5HDvPgwLyxhaqEtyVgiI,0.0331,0.494,0.611,0.0,0.0711,-7.409,0.0444,143.075,0.289,46
94,cybersex,3,1MUPU5fiHjUSX5doTNvRMe,playboy s**t (feat. Lil Aaron),spotify:track:1MUPU5fiHjUSX5doTNvRMe,0.117,0.7,0.697,0.0,0.11,-5.062,0.17,154.828,0.815,16
106,digital druglord,1,1PcU7Qy3VUgeYaByCThdm9,hell is where i dreamt of u and woke up alone,spotify:track:1PcU7Qy3VUgeYaByCThdm9,0.924,0.588,0.199,0.0,0.13,-11.615,0.0573,136.769,0.329,53
107,digital druglord,2,7865MYTYATLVWUUApjAzSW,moodz (feat. 24hrs),spotify:track:7865MYTYATLVWUUApjAzSW,0.199,0.754,0.486,1.98e-05,0.115,-8.864,0.143,101.922,0.151,52
108,digital druglord,3,3jfFw63n74qkinjHibNPMS,I miss the old u,spotify:track:3jfFw63n74qkinjHibNPMS,0.279,0.717,0.804,0.0,0.527,-5.257,0.326,133.012,0.362,68
109,digital druglord,4,6Se3x9ANMLv0dCDsjGmEjh,do re mi,spotify:track:6Se3x9ANMLv0dCDsjGmEjh,0.00522,0.745,0.593,5.06e-06,0.123,-6.35,0.0524,111.001,0.17,78
110,digital druglord,5,2O30HZ3iEz32Nx8yVMJjFO,wish u the best (feat. Stalking Gia),spotify:track:2O30HZ3iEz32Nx8yVMJjFO,0.0232,0.802,0.495,0.0,0.109,-6.154,0.19,114.99,0.473,62
111,digital druglord,6,0thG7Lq8m7A1ejhrtNRhFD,Juicy Sweatsuits (feat. Juicy J),spotify:track:0thG7Lq8m7A1ejhrtNRhFD,0.218,0.716,0.535,0.0,0.0673,-8.01,0.42,102.843,0.572,53
112,digital druglord,7,7oK6FWHt5kU2fZujTnsv9u,double,spotify:track:7oK6FWHt5kU2fZujTnsv9u,0.481,0.663,0.595,0.0,0.321,-6.818,0.294,120.785,0.687,52
113,digital druglord,8,35UHXmqwern5xXTeLlIjHG,if i could i would feel nothing,spotify:track:35UHXmqwern5xXTeLlIjHG,0.298,0.632,0.525,0.0,0.0799,-5.791,0.141,119.521,0.923,60
114,digital druglord,9,5IdrsGhB8D7RwNwGra9V6i,chateau,spotify:track:5IdrsGhB8D7RwNwGra9V6i,0.0516,0.665,0.635,0.0,0.367,-5.763,0.0446,97.974,0.472,67
115,digital druglord,10,5jCyTX2ezvAHoMTNdLMYa2,make daddy proud,spotify:track:5jCyTX2ezvAHoMTNdLMYa2,0.162,0.826,0.497,0.0,0.0645,-7.249,0.0472,102.025,0.816,59
116,help,1,4Zz7qwjSgxs9sRnOP2KjHb,don't stop,spotify:track:4Zz7qwjSgxs9sRnOP2KjHb,0.615,0.847,0.386,1.89e-06,0.177,-13.072,0.301,99.068,0.851,50
117,help,2,1i6eoKAP8V6kVeW5FHxW8q,oh lord,spotify:track:1i6eoKAP8V6kVeW5FHxW8q,0.0118,0.737,0.631,1.21e-06,0.341,-6.44,0.0473,120.039,0.338,43
118,help,3,1qYP1ilykWbJr5wF85SNQV,slide thru (feat. Jerry Good),spotify:track:1qYP1ilykWbJr5wF85SNQV,0.473,0.585,0.512,1.56e-06,0.131,-9.764,0.527,121.896,0.698,50
119,help,4,49GFP1sA528wDMaDdQgwLo,paragraphs,spotify:track:49GFP1sA528wDMaDdQgwLo,0.243,0.742,0.46,0.0,0.102,-11.229,0.0635,99.073,0.116,48
120,help,5,0FkKoIRproCB2faGlpPtry,nervous,spotify:track:0FkKoIRproCB2faGlpPtry,0.201,0.821,0.517,3.74e-06,0.203,-10.488,0.0497,115.087,0.722,43
121,help,6,7Jzn6gNY50ZoFwyFZiql0Z,where was u?,spotify:track:7Jzn6gNY50ZoFwyFZiql0Z,0.284,0.709,0.684,0.0,0.134,-8.332,0.068,154.009,0.848,46
122,help,7,0IHjY58S1OdnealEbadJQ1,help (feat. Maejor),spotify:track:0IHjY58S1OdnealEbadJQ1,0.257,0.855,0.428,0.0,0.12,-8.773,0.36,67.01,0.487,50
123,help,8,2Y4DwuII6ZzFZxmvD1s5o5,different hos,spotify:track:2Y4DwuII6ZzFZxmvD1s5o5,0.193,0.795,0.505,4.88e-05,0.0643,-7.5,0.0537,102.024,0.439,55
124,help,9,3CEyM9wliTj7TeuuG84KZU,verbatim,spotify:track:3CEyM9wliTj7TeuuG84KZU,0.0578,0.667,0.493,0.0,0.367,-11.207,0.0546,124.128,0.313,55
125,help,10,78mbcQO7K8jlMfJS4zpaiJ,hustler,spotify:track:78mbcQO7K8jlMfJS4zpaiJ,0.0785,0.713,0.389,1.13e-05,0.112,-12.986,0.0484,119.919,0.381,43
126,deadroses,1,1XcXhu1X0xBFMDFyq0b7Ue,4u,spotify:track:1XcXhu1X0xBFMDFyq0b7Ue,0.392,0.776,0.513,0.0,0.0642,-6.757,0.0872,153.934,0.813,60
127,deadroses,2,0Ma4illoFg3z4bYdSRxkJP,i needed you,spotify:track:0Ma4illoFg3z4bYdSRxkJP,0.851,0.671,0.43,0.0,0.118,-9.848,0.121,74.031,0.389,56
128,deadroses,3,6t2GvnsXlr0dELiQS7X75J,ain't trippin,spotify:track:6t2GvnsXlr0dELiQS7X75J,0.147,0.656,0.413,0.0,0.16,-11.592,0.0624,144.069,0.492,49
129,deadroses,4,4hdog9vyyqG9pcppG2Izek,90210 (feat. G-Eazy),spotify:track:4hdog9vyyqG9pcppG2Izek,0.0306,0.707,0.707,0.0,0.127,-6.161,0.0375,104.039,0.231,59
130,deadroses,5,2dEXFCjK4xKkJMUaezOIym,ain't love,spotify:track:2dEXFCjK4xKkJMUaezOIym,0.145,0.444,0.57,7.65e-06,0.128,-8.152,0.065,96.982,0.331,47
131,deadroses,6,6y6jbcPG4Yn3Du4moXaenr,idfc,spotify:track:6y6jbcPG4Yn3Du4moXaenr,0.611,0.63,0.5,4.04e-05,0.114,-8.755,0.0611,144.871,0.315,81
132,deadroses,7,6pV8yBEHeu7A7lkttIjM2g,waste away (feat. Devon Baldwin),spotify:track:6pV8yBEHeu7A7lkttIjM2g,0.367,0.511,0.399,0.0,0.113,-10.048,0.093,137.023,0.394,51
133,deadroses,8,0qgZvYWLIqDn0tXimF8gPa,dirty laundry,spotify:track:0qgZvYWLIqDn0tXimF8gPa,0.051,0.766,0.64,0.0,0.237,-8.899,0.0345,100.044,0.67,72
134,deadroses,9,7ArrPiY7Xhl8J1bW2Ui0qy,my heart is lost,spotify:track:7ArrPiY7Xhl8J1bW2Ui0qy,0.241,0.643,0.521,0.0,0.0896,-7.966,0.0516,159.964,0.678,46
135,deadroses,10,3cuW0sgJND4ZkdN1m7m7Gg,deadroses,spotify:track:3cuW0sgJND4ZkdN1m7m7Gg,0.697,0.612,0.536,0.0,0.131,-6.537,0.157,132.251,0.603,59
