,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
140,Scorpion,7,41a7dZcq30Ss5kPMayWRV0,That’s How You Feel,spotify:track:41a7dZcq30Ss5kPMayWRV0,0.117,0.85,0.473,0.0103,0.108,-5.747,0.209,85.454,0.38,66
141,Scorpion,8,4n1bdaKwynQndm47x5HqWX,Blue Tint,spotify:track:4n1bdaKwynQndm47x5HqWX,0.013,0.889,0.372,0.0,0.184,-10.254,0.357,133.997,0.123,66
142,Scorpion,9,2G7V7zsVDxg1yRsu7Ew9RJ,In My Feelings,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,0.0589,0.835,0.626,6e-05,0.396,-5.833,0.125,91.03,0.35,80
143,Scorpion,10,6G8kHiVZ1jW7vHMPVRNZU0,Don’t Matter To Me (with Michael Jackson),spotify:track:6G8kHiVZ1jW7vHMPVRNZU0,0.493,0.822,0.318,0.0128,0.11,-12.391,0.0575,102.998,0.138,73
144,Scorpion,11,3mvYQKm8h6M5K5h0nVPY9S,After Dark (feat. Static Major & Ty Dolla $ign),spotify:track:3mvYQKm8h6M5K5h0nVPY9S,0.0407,0.687,0.429,0.0,0.142,-13.075,0.192,141.966,0.336,63
145,Scorpion,12,44Du2IM1bGY7dicmLfXbUs,Final Fantasy,spotify:track:44Du2IM1bGY7dicmLfXbUs,0.422,0.5,0.449,7.96e-06,0.115,-10.977,0.442,144.206,0.104,60
146,Scorpion,13,09lmraDvzBT3pUQ2rUtJzK,March 14,spotify:track:09lmraDvzBT3pUQ2rUtJzK,0.405,0.558,0.414,0.0,0.36,-7.355,0.358,127.094,0.318,58
172,More Life,1,05KOgYg8PGeJyyWBPi5ja8,Free Smoke,spotify:track:05KOgYg8PGeJyyWBPi5ja8,0.0681,0.736,0.491,0.0,0.571,-6.892,0.439,141.979,0.203,68
173,More Life,2,6CfrYuD3YRDYdYvH9jNtXY,No Long Talk,spotify:track:6CfrYuD3YRDYdYvH9jNtXY,0.0671,0.913,0.608,0.0,0.533,-6.839,0.234,97.063,0.578,64
174,More Life,3,5mCPDVBb16L4XQwDdbRUpz,Passionfruit,spotify:track:5mCPDVBb16L4XQwDdbRUpz,0.256,0.809,0.463,0.085,0.109,-11.377,0.0396,111.98,0.364,86
175,More Life,4,13e6f8t7RKXuxZ0JdaaJRG,Jorja Interlude,spotify:track:13e6f8t7RKXuxZ0JdaaJRG,0.762,0.735,0.373,0.00202,0.288,-10.478,0.104,123.081,0.237,65
176,More Life,5,7y6c07pgjZvtHI9kuMVqk1,Get It Together,spotify:track:7y6c07pgjZvtHI9kuMVqk1,0.0945,0.781,0.721,0.391,0.104,-9.133,0.0514,123.011,0.849,75
177,More Life,6,76gUmNLXGQVOsGhfcshkFP,Madiba Riddim,spotify:track:76gUmNLXGQVOsGhfcshkFP,0.245,0.839,0.521,0.00545,0.607,-10.45,0.166,105.992,0.33,67
178,More Life,7,2XlHu0HcujBCkWMdIAvrqt,Blem,spotify:track:2XlHu0HcujBCkWMdIAvrqt,0.0533,0.726,0.535,1.38e-05,0.0984,-7.804,0.0476,98.067,0.375,68
179,More Life,8,2fkeWbM6iqTw7oGHTYm2lw,4422,spotify:track:2fkeWbM6iqTw7oGHTYm2lw,0.558,0.609,0.229,0.0413,0.113,-12.36,0.0333,111.887,0.19,69
180,More Life,9,6UjfByV1lDLW0SOVQA4NAi,Gyalchester,spotify:track:6UjfByV1lDLW0SOVQA4NAi,0.0317,0.877,0.391,0.000502,0.0945,-8.196,0.063,131.018,0.122,72
181,More Life,10,2dfqS3MRtbLZSZA1IL8xY5,Skepta Interlude,spotify:track:2dfqS3MRtbLZSZA1IL8xY5,0.0103,0.745,0.822,4.2e-06,0.155,-6.354,0.252,86.733,0.415,61
182,More Life,11,2bjwRfXMk4uRgOD9IBYl9h,Portland,spotify:track:2bjwRfXMk4uRgOD9IBYl9h,0.0172,0.925,0.443,0.0,0.276,-8.216,0.264,136.078,0.35,77
