,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
144,Make It Hot (ChopNotSlop Remix),2,4o1jMsClW1qKF80O0pdvVc,Mustard & Mayonaise - ChopNotSlop Remix,spotify:track:4o1jMsClW1qKF80O0pdvVc,0.0706,0.838,0.548,4.34e-06,0.153,-9.557,0.0758,113.995,0.18,21
145,Make It Hot (ChopNotSlop Remix),3,0VfsRVazAAzWb7UoeP1pff,Make It Hot - ChopNotSlop Remix,spotify:track:0VfsRVazAAzWb7UoeP1pff,0.024,0.847,0.708,0.0,0.218,-8.863,0.183,114.218,0.555,23
146,Make It Hot (ChopNotSlop Remix),4,47e1O8587CXqq4mbnA5Sug,Geekin' - ChopNotSlop Remix,spotify:track:47e1O8587CXqq4mbnA5Sug,0.00092,0.747,0.494,0.000322,0.151,-8.406,0.0828,112.415,0.112,21
147,Make It Hot (ChopNotSlop Remix),5,2A6eujNK16N624Sa130pao,Crazy - ChopNotSlop Remix,spotify:track:2A6eujNK16N624Sa130pao,0.316,0.731,0.608,0.0,0.182,-10.25,0.268,109.836,0.603,21
148,Make It Hot (ChopNotSlop Remix),6,1U2AAWRd6JoT6qdJWbcbp6,Pull Up Late (ChopNotSlop Remix,spotify:track:1U2AAWRd6JoT6qdJWbcbp6,0.00153,0.741,0.634,7.46e-05,0.715,-8.161,0.183,130.778,0.365,22
149,Make It Hot (ChopNotSlop Remix),7,0YdkxRrsCtzZCbeCxiIxsr,Last Week - ChopNotSlop Remix,spotify:track:0YdkxRrsCtzZCbeCxiIxsr,0.0899,0.619,0.681,0.0,0.139,-8.816,0.306,168.279,0.618,22
150,Make It Hot (ChopNotSlop Remix),8,0jvv9z4azqubwTGmWv47Zq,Naturally - ChopNotSlop Remix,spotify:track:0jvv9z4azqubwTGmWv47Zq,0.0193,0.676,0.691,0.0,0.172,-8.797,0.313,167.154,0.343,19
151,Make It Hot,1,6fTGUS9sJRJZxEhKvNRSN3,Intro- Make It Hot,spotify:track:6fTGUS9sJRJZxEhKvNRSN3,0.015,0.923,0.751,0.0,0.0468,-9.496,0.259,130.95,0.687,33
152,Make It Hot,2,1g1AqFNWaX1wf9LzqnyILo,Pull up Late,spotify:track:1g1AqFNWaX1wf9LzqnyILo,0.000626,0.691,0.652,0.0119,0.723,-9.434,0.126,78.015,0.459,40
153,Make It Hot,3,6bEX50j09qv7LSgEas5gnS,Naturally,spotify:track:6bEX50j09qv7LSgEas5gnS,0.00233,0.731,0.591,0.0,0.131,-11.453,0.269,189.147,0.415,40
154,Make It Hot,4,2LBSAsqowvInpgcRXQChkS,Mustard & Mayonaise,spotify:track:2LBSAsqowvInpgcRXQChkS,0.1,0.883,0.496,3.81e-05,0.0816,-10.459,0.161,140.536,0.481,37
155,Make It Hot,5,769KncIWnBJwqWiywXoJ5a,Last Week in H Tx,spotify:track:769KncIWnBJwqWiywXoJ5a,0.113,0.844,0.663,0.0,0.109,-8.855,0.182,102.479,0.601,43
156,Make It Hot,6,6RGyOfpQCDZkzA2nE6F4Pz,Crazy,spotify:track:6RGyOfpQCDZkzA2nE6F4Pz,0.324,0.803,0.601,0.0,0.216,-10.325,0.217,124.06,0.819,38
157,Make It Hot,7,4W04yVz5KrfQLTQlRugGVo,Geekin,spotify:track:4W04yVz5KrfQLTQlRugGVo,0.00199,0.828,0.413,0.000183,0.11,-11.977,0.472,127.038,0.364,37
