,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
55,Smoke + Mirrors (Deluxe),15,4DRQBzgiM3SQqO5bXXPGpb,The Unknown,spotify:track:4DRQBzgiM3SQqO5bXXPGpb,0.0255,0.426,0.766,0.000808,0.0931,-8.13,0.0894,120.178,0.345,48
56,Smoke + Mirrors (Deluxe),16,6FQcdl2PzmsoXRF3F1flZ5,Second Chances,spotify:track:6FQcdl2PzmsoXRF3F1flZ5,0.171,0.401,0.567,0.00859,0.103,-9.131,0.0355,171.059,0.362,50
62,Smoke + Mirrors (Deluxe),1,2h6HdN3oPr4JijIQV29hv1,Shots,spotify:track:2h6HdN3oPr4JijIQV29hv1,0.00713,0.552,0.76,0.0113,0.313,-6.861,0.0367,104.957,0.338,58
71,Smoke + Mirrors (Deluxe),10,7HfILFCt8XErcfd25feE6A,Trouble,spotify:track:7HfILFCt8XErcfd25feE6A,0.307,0.388,0.889,0.00486,0.142,-5.281,0.116,159.96,0.327,48
72,Smoke + Mirrors (Deluxe),11,1AZY4tKB3obBrQHVz0feOf,Summer,spotify:track:1AZY4tKB3obBrQHVz0feOf,0.00536,0.539,0.824,0.0958,0.102,-7.397,0.0293,108.981,0.614,47
74,Smoke + Mirrors (Deluxe),13,6PZ2TaWkJBwlD1QxenOtpq,The Fall,spotify:track:6PZ2TaWkJBwlD1QxenOtpq,0.493,0.301,0.413,0.0433,0.112,-9.693,0.0418,120.145,0.0468,48
80,Smoke + Mirrors (Deluxe),19,6SCDzH7OCgpzwCP8yo7HIP,Battle Cry,spotify:track:6SCDzH7OCgpzwCP8yo7HIP,0.0415,0.232,0.901,0.00649,0.123,-6.84,0.124,130.055,0.0392,64
81,Smoke + Mirrors (Deluxe),20,4uyDe8SeM0Nsgzp9KMtXWn,Monster,spotify:track:4uyDe8SeM0Nsgzp9KMtXWn,0.209,0.483,0.768,0.000646,0.103,-5.431,0.0732,179.957,0.405,68
82,Smoke + Mirrors (Deluxe),21,1YvKsn3ID4XvpwSSiqu1Jc,Who We Are,spotify:track:1YvKsn3ID4XvpwSSiqu1Jc,0.00746,0.407,0.656,0.255,0.343,-7.088,0.0413,173.954,0.39,62
103,Smoke + Mirrors (Asia Tour Edition),20,0QwCouUFUgsCcbinB9fL45,I Bet My Life - Imagine Dragons Remix,spotify:track:0QwCouUFUgsCcbinB9fL45,0.00389,0.605,0.801,0.0031,0.446,-6.171,0.0571,124.028,0.167,0
104,Smoke + Mirrors (Asia Tour Edition),21,7dJLXlynYxyophFYPrSl0H,I Bet My Life - Lost Kings Remix,spotify:track:7dJLXlynYxyophFYPrSl0H,0.0828,0.547,0.836,0.0,0.158,-7.03,0.0651,119.959,0.293,0
106,Smoke + Mirrors (Deluxe),2,4xrzG4pw9JN8BJqqjurcPs,Gold,spotify:track:4xrzG4pw9JN8BJqqjurcPs,0.0801,0.416,0.459,0.00653,0.0551,-6.814,0.0317,164.929,0.286,61
108,Smoke + Mirrors (Deluxe),4,7oTQ4d0UJeH8LOyvpfd5uW,I’m So Sorry,spotify:track:7oTQ4d0UJeH8LOyvpfd5uW,0.144,0.528,0.687,0.0,0.251,-5.954,0.0532,142.605,0.423,68
109,Smoke + Mirrors (Deluxe),5,0ct0vSOkP0IZnbPGiDltCR,I Bet My Life,spotify:track:0ct0vSOkP0IZnbPGiDltCR,0.367,0.545,0.659,0.00111,0.415,-8.18,0.0394,108.04,0.599,65
113,Smoke + Mirrors (Deluxe),9,6S91KdGvAQdUU8vNpqIte7,Dream,spotify:track:6S91KdGvAQdUU8vNpqIte7,0.643,0.379,0.513,3.24e-05,0.069,-7.724,0.0492,142.067,0.108,64
121,Smoke + Mirrors (Deluxe),17,1DkwT6raJxACzdcWLviVJK,Release,spotify:track:1DkwT6raJxACzdcWLviVJK,0.86,0.379,0.396,1.21e-05,0.118,-11.247,0.0292,138.36,0.407,59
122,Smoke + Mirrors (Deluxe),18,1sWeSMifj6Z6kZyI6z3bRc,Warriors,spotify:track:1sWeSMifj6Z6kZyI6z3bRc,0.0964,0.365,0.851,0.003,0.237,-6.238,0.0645,78.086,0.309,77
123,Smoke + Mirrors (Deluxe),19,0fsEFwLSJTSHSawhe864Cp,Shots - Broiler Remix,spotify:track:0fsEFwLSJTSHSawhe864Cp,0.449,0.735,0.784,0.154,0.105,-7.128,0.0332,120.012,0.582,71
180,Smoke + Mirrors,7,2iIb73Qn02LsZwpW8RJUxh,Friction,spotify:track:2iIb73Qn02LsZwpW8RJUxh,0.0508,0.671,0.537,0.0259,0.19,-8.745,0.0358,104.007,0.273,57
236,Night Visions (Deluxe),14,4uHNzoh5OW1oWHLYVZjGMk,My Fault,spotify:track:4uHNzoh5OW1oWHLYVZjGMk,0.113,0.596,0.814,0.0195,0.112,-6.226,0.0392,108.51,0.519,50
237,Night Visions (Deluxe),15,079yVkBuqjli0R21W0kis3,Round And Round,spotify:track:079yVkBuqjli0R21W0kis3,0.00262,0.455,0.858,0.0,0.201,-4.221,0.044,141.957,0.479,52
238,Night Visions (Deluxe),16,3EwcIKpn9x4NwgCP2xM4CU,The River,spotify:track:3EwcIKpn9x4NwgCP2xM4CU,0.00986,0.395,0.637,0.00235,0.33,-5.757,0.0304,169.99,0.284,48
239,Night Visions (Deluxe),17,3e4pzgxpqCs8qtwlUexOvy,America,spotify:track:3e4pzgxpqCs8qtwlUexOvy,0.00309,0.567,0.543,0.0758,0.163,-7.736,0.0313,113.034,0.0899,49
240,Night Visions (Deluxe),18,6D1ZLhvp4c4WrT9InJ2qjc,Selene,spotify:track:6D1ZLhvp4c4WrT9InJ2qjc,0.000816,0.566,0.69,5.01e-06,0.157,-4.813,0.0254,95.006,0.562,50
241,Night Visions (Deluxe),19,4ZJcaZjgmy5W59MOrPQhV8,Cover Up,spotify:track:4ZJcaZjgmy5W59MOrPQhV8,0.000514,0.547,0.718,2.8e-06,0.105,-4.569,0.0335,135.191,0.156,46
242,Night Visions (Deluxe),20,4WHsrf7gr9uE03pCnwva0c,I Don't Mind,spotify:track:4WHsrf7gr9uE03pCnwva0c,0.00188,0.45,0.851,0.0,0.261,-4.684,0.0446,117.913,0.0775,48
277,Night Visions,1,62yJjFtgkhUrXktIoSjgP2,Radioactive,spotify:track:62yJjFtgkhUrXktIoSjgP2,0.106,0.448,0.784,0.000108,0.668,-3.686,0.0627,136.245,0.236,82
